"allocator_id","allocator_name","allocator_type","target_fund_id","target_fund_name","target_vehicle","relation_type","amount_usd","year","sector_lens","region_lens","source_url","evidence_note","confidence"
"idb_lab","IDB Lab","development_venture_capital_lp","sp_ventures","SP Ventures","AgVentures III Fund","lp_commitment_to_vc_fund","8000000","2026","agtech; foodtech; climate-resilient agriculture; biotechnology","Latin America and Caribbean","https://bidlab.org/en/news/idb-lab-invest-8-million-agventures-iii-fund-advance-agtech-innovation","IDB Lab announced an $8M investment in AgVentures III, managed by SP Ventures with JICA and partners, to back agtech and foodtech innovation across LAC.","0.96"
"jica","JICA","development_finance_lp","sp_ventures","SP Ventures","AgVentures III Fund","lp_partner_in_vc_fund","","2026","agtech; foodtech; climate-resilient agriculture","Latin America and Caribbean","https://bidlab.org/en/news/idb-lab-invest-8-million-agventures-iii-fund-advance-agtech-innovation","The AgVentures III announcement names JICA as a partner collaborating with SP Ventures and IDB Lab in the fund.","0.88"
"idb_lab","IDB Lab","development_venture_capital_lp","500_latam","500 LatAm","500 LatAm Seed Fund IV","lp_commitment_to_vc_fund","2000000","2025","seed-stage technology; emerging ecosystems","Latin America and Caribbean","https://bidlab.org/en/news/idb-lab-invests-2-million-500-latam-seed-fund-iv-empower-startups-latin-america-and-caribbean","IDB Lab announced a $2M strategic investment in 500 LatAm Seed Fund IV, which plans to invest in roughly 40 early-stage tech startups in LAC.","0.95"
"idb_lab","IDB Lab","development_venture_capital_lp","amador","Amador","Amador Seed Fund II","lp_commitment_to_vc_fund","3000000","2025","seed-stage software; fintech; health; education; enterprise software","Latin America and Caribbean","https://bidlab.org/en/news/idb-lab-invests-amador-seed-fund-ii-boost-emerging-venture-capital-ecosystems-latin-america","IDB Lab approved an investment of up to $3M in Amador Seed Fund II to strengthen emerging VC ecosystems, especially Central America.","0.95"
"idb_lab","IDB Lab","development_venture_capital_lp","innogen_capital","Innogen Capital","Innogen Delta I","lp_commitment_to_vc_fund","2500000","2026","Central America VC; agtech; healthtech; fintech; logistics; SaaS","Central America","https://bidlab.org/en/news/idb-lab-invests-innogen-delta-i-drive-tech-entrepreneurship-and-digital-transformation-central","IDB Lab approved plans to invest up to $2.5M in Innogen Delta I, described as the first VC fund focused exclusively on Central American startups.","0.95"
"idb_lab","IDB Lab","development_venture_capital_lp","nxtp","NXTP","NXTP III Fund","lp_commitment_to_vc_fund","","2023","B2B software; SaaS; logistics; fintech; AI; information services","Latin America and Caribbean","https://bidlab.org/en/news/idb-lab-expands-access-financing-technology-ventures-investing-nxtp-iii-fund","IDB Lab announced an equity investment in NXTP III, a regional early-stage technology fund for LAC.","0.9"
"idb_invest","IDB Invest","development_finance_lp","valor_capital_group","Valor Capital Group","Valor Growth Americas III","equity_investment_to_growth_fund","30000000","2025","growth equity; software; AI; climate tech; fintech; healthcare; ag","Latin America and Caribbean","https://www.idbinvest.org/en/projects/valor-americas-growth-fund","IDB Invest project page states an equity investment of up to $30M or 20% of Valor Growth Americas III, managed by Valor Capital Group.","0.96"
"idb_invest","IDB Invest","development_finance_lp","partners_for_growth","Partners for Growth","Latin America Venture Debt Growth Fund / Latam Growth Lending Fund","equity_investment_to_venture_debt_fund","15000000","2020","venture debt; software; life sciences; healthcare; agritech; fintech","Latin America and Caribbean","https://idbinvest.org/en/projects/latin-america-venture-debt-growth-fund","IDB Invest project page describes up to $15M for 49% of the Latin America Venture Debt Growth Fund capital commitments, formed with SVB and Partners for Growth.","0.94"
"svb_financial_group","SVB Financial Group","private_financial_institution_lp","partners_for_growth","Partners for Growth","Latin America Venture Debt Growth Fund / Latam Growth Lending Fund","fund_partner","","2020","venture debt; software; life sciences; healthcare; agritech; fintech","Latin America and Caribbean","https://idbinvest.org/en/projects/latin-america-venture-debt-growth-fund","The IDB Invest project page describes the fund as formed between SVB Financial Group, Partners for Growth and IDB Invest.","0.86"
"idb_lab","IDB Lab","development_venture_capital_lp","lavca","LAVCA","Regional VC ecosystem development program","ecosystem_grant","500000","","venture capital ecosystem infrastructure","Latin America and Caribbean","https://www.iadb.org/en/news/idb-fund-approves-us500000-grant-foster-development-venture-capital-industry-latin-america-and","IDB/MIF approved $500k financing through LAVCA to strengthen the VC industry and mobilize investors in LAC.","0.84"
"idb_lab","IDB Lab","development_venture_capital_lp","GridX","GridX","GridX II","lp_commitment_to_vc_fund","3000000","2022","deeptech; biotechnology; climate; health; science-based ventures; bio-revolution","Latin America and Caribbean","https://bidlab.org/es/noticias/bid-lab-aprueba-inversion-para-impulsar-emprendimientos-deeptech-en-america-latina","BID Lab approved a $3M investment in GridX II to promote science-based deeptech ventures with a special focus on biotechnology, climate and health across Latin America.","0.97"
"idb_lab","IDB Lab","development_venture_capital_lp","the_yield_lab_latam","The Yield Lab LATAM","The Yield Lab Opportunity Fund","lp_commitment_to_vc_fund","","2023","agrifoodtech; food systems; agriculture; climate-smart agriculture; sustainable food value chains","Latin America and Caribbean","https://theyieldlablatam.com/2024/09/30/the-yield-lab-latam-announces-advancement-of-its-third-agrifoodtech-fund-with-new-investment-from-the-global-environment-facility/","The Yield Lab LATAM states that IDB Lab is an investor in its Opportunity Fund, a regional agrifoodtech VC fund targeting 30 Latin American food and agriculture technology companies.","0.94"
"gef","Global Environment Facility","multilateral_environmental_lp","the_yield_lab_latam","The Yield Lab LATAM","The Yield Lab Opportunity Fund","lp_commitment_to_vc_fund","6000000","2024","decarbonized food systems; sustainable agriculture; climate adaptation; restoration","Latin America and Caribbean","https://theyieldlablatam.com/2024/09/30/the-yield-lab-latam-announces-advancement-of-its-third-agrifoodtech-fund-with-new-investment-from-the-global-environment-facility/","The Yield Lab LATAM announced a $6M GEF commitment through the Inter-American Development Bank for the Opportunity Fund, alongside IDB Lab and other institutional investors.","0.94"
"idb_lab","IDB Lab","development_venture_capital_lp","kaete_investimentos","Kaete Investimentos","Amazonia ReGenerate Accelerator and Investment Trust","anchor_support_to_bioeconomy_fund","2000000","2021","Amazon bioeconomy; biodiversity; circular economy; climate; forest restoration; sustainable agriculture","Amazon basin; Brazil; Ecuador; Bolivia; Peru; Colombia; Guyana; Suriname","https://www.iadb.org/en/project/RG-Q0093","The official IDB project page says IDB Lab approved $2M for the Amazonia ReGenerate Accelerator and Investment Trust, partnering with Kaete Investimentos to support regenerative-economy ventures in the Amazon basin.","0.96"
"idb_natural_capital_lab","IDB Natural Capital Lab","development_nature_capital_platform","kaete_investimentos","Kaete Investimentos","Amazonia ReGenerate Accelerator and Investment Trust","strategic_capital_support_to_bioeconomy_fund","","2021","natural capital; biodiversity; Amazon bioeconomy; climate; forest systems","Amazon basin; Latin America","https://www.iadb.org/en/project/RG-Q0093","The official IDB project page identifies IDB Natural Capital Lab as partner in structuring and operating the Amazonia ReGenerate trust and accelerator with Kaete Investimentos.","0.92"
"idb_lab","IDB Lab","development_venture_capital_lp","kptl","KPTL","Amazonia Regenerate Accelerator and Investment Fund","bioeconomy_fund_support","","2024","Amazon bioeconomy; biodiversity; climate; regenerative economy; sustainable agriculture","Amazon basin; Latin America","https://kptl.com.br/active-listening-ancestral-wisdom-and-the-voices-of-the-forest/?lang=en","KPTL describes an Amazonia Regenerate accelerator and investment fund supported by IDB Lab and focused on startups linked to the Amazon bioeconomy and climate/biodiversity outcomes.","0.90"
"1200_vc","1200 VC","fund_of_funds_and_direct_investor","third_sphere","Third Sphere","Third Sphere","fund_of_funds_commitment_or_exposure","","","climate tech; urban tech; hardware; systems climate","United States; Latin America; global","https://www.twelvehundred.vc/investments","1200 VC official investments page lists Third Sphere, described as supporting rapid and scalable ClimateTech startups.","0.90"
"1200_vc","1200 VC","fund_of_funds_and_direct_investor","lowercarbon_capital","Lowercarbon Capital","Lowercarbon Capital","fund_of_funds_commitment_or_exposure","","","climate tech; carbon capture; clean energy; sustainability","United States; Latin America; global","https://www.twelvehundred.vc/investments","1200 VC official investments page lists Lowercarbon Capital, described as backing climate-change solutions across clean energy, carbon capture and sustainability.","0.90"
"1200_vc","1200 VC","fund_of_funds_and_direct_investor","endurance_28","Endurance 28","Endurance 28","fund_of_funds_commitment_or_exposure","","","climate; health; digital economy; US and LatAm","United States; Latin America; global","https://www.twelvehundred.vc/investments","1200 VC official investments page lists Endurance 28, described as backing founders in climate, health and digital economy across US and LatAm.","0.90"
"1200_vc","1200 VC","fund_of_funds_and_direct_investor","cantos","Cantos","Cantos","fund_of_funds_commitment_or_exposure","","","frontier science; energy; space; AI; bio","United States; Latin America; global","https://www.twelvehundred.vc/investments","1200 VC official investments page lists Cantos, described as first-check investor in near-frontier science and engineering ventures building energy, space, AI and bio.","0.90"
"1200_vc","1200 VC","fund_of_funds_and_direct_investor","onevc","OneVC","OneVC","fund_of_funds_commitment_or_exposure","","","Brazil; seed; fintech; SaaS; logistics; healthcare","United States; Latin America; global","https://www.twelvehundred.vc/investments","1200 VC official investments page lists OneVC, described as backing ambitious Brazilian founders across fintech, SaaS, logistics and healthcare.","0.90"
"idb_invest","IDB Invest","development_finance_lp","sp_ventures","SP Ventures","AgVentures III Fund","lp_or_institutional_support_to_vc_fund","","2026","agtech; foodtech; climate-resilient agriculture; biotechnology","Latin America and Caribbean","https://spventures.com.br/wp-content/uploads/2026/04/ESG-Impact-Report-2025-SP-Ventures-EN_Oficial.pdf","SP Ventures 2025 ESG & Impact Report describes Fund III as receiving continued support from institutions like IDB Invest, plus mission-aligned investors such as SEDF and JICA; modeled as institutional capital/support to AgVentures III rather than a direct startup investment.","0.90"
