"startup_id","startup_name","macro_theme","emergent_theme","review_status","source_url"
"aerialoop","Aerialoop","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"algaebio","algaebio+","food biotech and novel ingredients","microalgae functional ingredients","reviewed","https://algaebioplus.com/"
"alkemio","Alkemio","climate, energy and resource systems","critical materials and resource systems","seeded",""
"alytix","Alytix","therapeutics and regenerative medicine","therapeutic and regenerative biology","seeded",""
"apexzymes","APEXzymes","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","reviewed","https://apexzymes.com/"
"aplife_biotech","Aplife Biotech","computational biology and scientific software","computational biology and life-science software","reviewed","https://www.aplifebiotech.com/about"
"argentag","ArgenTAG","computational biology and scientific software","computational biology and life-science software","reviewed","https://sosv.com/company/argentag/"
"arqlite","Arqlite","biobased chemistry and advanced materials","circular material systems","reviewed","https://curbwaste.com/company-profiles-network/arqlite"
"ayuvant","Ayuvant","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.ayuvant.com/"
"beam_croptech","BEAM CropTech","ag biologicals and crop resilience","genome-enabled crop resilience","reviewed","https://beamcroptech.com/en/home-en/"
"beeflow","Beeflow","ag biologicals and crop resilience","data-driven pollination systems","reviewed","https://www.beeflow.com/about-us"
"bioblends","BioBlends","food biotech and novel ingredients","natural food preservation systems","reviewed","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/bioblends"
"bioheuris","Bioheuris","ag biologicals and crop resilience","genome-enabled crop resilience","reviewed","https://bioheuris.com/aboutus"
"bioplaster_research_inc","BioPlaster Research Inc","biobased chemistry and advanced materials","circular material systems","reviewed","https://www.bioplaster-research.com/english/about-us"
"bioplastix","Bioplastix","biobased chemistry and advanced materials","circular material systems","reviewed","https://bio-plastix.com/"
"bioseek","Bioseek","computational biology and scientific software","computational biology and life-science software","reviewed","https://www.f6s.com/company/bioseek"
"biotalife","Biotalife","diagnostics and medtech","health diagnostics and medtech","reviewed","https://www.biotalife.com/"
"bitgenia","Bitgenia","computational biology and scientific software","computational biology and life-science software","reviewed","https://www.bitgenia.com/nosotros/"
"bleps_vision","Bleps Vision","diagnostics and medtech","health diagnostics and medtech","reviewed","https://blepsvision.com/en/"
"break_pet","BreakPET","biobased chemistry and advanced materials","biobased chemistry and materials","seeded","https://www.gridexponential.com/portfolio"
"bsafe_biotech","Bsafe Biotech","ag biologicals and crop resilience","ag biologicals and crop resilience","reviewed","https://www.bsafebiotech.com/"
"bybug","ByBug","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","seeded","https://www.gridexponential.com/portfolio"
"calice","Calice","precision agriculture and resource intelligence","precision agriculture intelligence","reviewed","https://calice.ai/eng/"
"caligenia","Caligenia","ag biologicals and crop resilience","extremophile microbial ag inputs","seeded","https://www.gridexponential.com/portfolio"
"caspr_biotech","Caspr Biotech","diagnostics and medtech","health diagnostics and medtech","reviewed","https://sosv.com/company/caspr-biotech/"
"cellargen_biotech","Cellargen Biotech","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","reviewed","https://www.unl.edu.ar/noticias/news/view/la_fbcb_y_cellargen_biotech_s_r_l_producir%C3%A1n_insumos_biotecnol%C3%B3gicos"
"cellrep","CellRep","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://cellrep.bio/about-us/"
"circclo","CIRCCLO","climate, energy and resource systems","circular material systems","seeded","https://circclo.com"
"courageous_land","Courageous Land","climate, energy and resource systems","regenerative agroforestry and carbon systems","seeded","https://courageousland.com"
"cryosmetics","Cryosmetics","biobased chemistry and advanced materials","biobased chemistry and materials","seeded","https://www.gridexponential.com/portfolio"
"einsted","Einsted","climate, energy and resource systems","climate and resource intelligence platforms","reviewed","https://cancilleria.gob.ar/en/new-technologies/next-from-argentina-en/einsted"
"eiwa","Eiwa","precision agriculture and resource intelligence","precision agriculture intelligence","reviewed","https://eiwa.ag/en/about-us/"
"elytron_biotech","Elytron Biotech","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","reviewed","https://www.elytronbiotech.com/?lang=en"
"embryoxite","Embryoxite","diagnostics and medtech","health diagnostics and medtech","seeded","https://www.gridexponential.com/portfolio"
"enteria","Enteria","diagnostics and medtech","health diagnostics and medtech","seeded","https://www.gridexponential.com/portfolio"
"enzyva","Enzyva","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","reviewed","https://www.enzyvo.com/about"
"epiliquid","Epiliquid","diagnostics and medtech","health diagnostics and medtech","reviewed","https://ar.linkedin.com/company/epiliquid"
"ergo_foods","Ergo Foods","food biotech and novel ingredients","food transition ingredients and proteins","reviewed","https://www.ergobiotech.com/"
"exomas","Exomas","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.exomas.co/"
"eywa_biotech","Eywa Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.eywa.bio/"
"fecundis","Fecundis","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.fecundis.com/"
"feedvax","Feedvax","ag biologicals and crop resilience","ag biologicals and animal resilience","reviewed","https://www.feedvax.com/"
"food4you","Food4You","food biotech and novel ingredients","food transition ingredients and proteins","seeded","https://www.gridexponential.com/portfolio"
"innova_space","Innova Space","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"laurus_ag_tech","Laurus AG Tech","precision agriculture and resource intelligence","precision agriculture intelligence","taxonomy_stub",""
"lia_aeospace","LIA Aeospace","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"microscopia","microscopIA","diagnostics and medtech","health diagnostics and medtech","reviewed","https://www.f6s.com/company/microscopia"
"mzp","MZP","diagnostics and medtech","health diagnostics and medtech","seeded",""
"nanojump_bio","Nano Jump Bio","diagnostics and medtech","health diagnostics and medtech","reviewed","https://es.gridexponential.com/project-tag/tools"
"nanogrow_biotech","Nanogrow Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.nanogrowbiotech.com/"
"nanoprox","NanoproX","diagnostics and medtech","health diagnostics and medtech","reviewed","https://www.nanoprox.com/"
"nideport","Nideport","climate, energy and resource systems","nature restoration and carbon systems","seeded","https://nideport.com"
"novo_space","NOVO SPACE","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"outpost","Outpost","computational biology and scientific software","computational biology and life-science software","reviewed","https://www.outpost.bio/"
"plamic_biotech","Plamic Biotech","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub",""
"poas_bioenergy","Poás Bioenergy","climate, energy and resource systems","regenerative agroforestry and carbon systems","reviewed","https://www.poasbioenergy.com/"
"protiva","Protiva","food biotech and novel ingredients","food transition ingredients and proteins","seeded","https://protiva.bio"
"quantum_south","Quantum South","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"satellites_on_fire","Satellites on Fire","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"satellogic","Satellogic","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"silohub","Silohub","precision agriculture and resource intelligence","precision agriculture intelligence","reviewed","https://www.descubre.vc/silohub"
"siloreal","SiloReal","climate, energy and resource systems","traceability and tokenized resource infrastructure","reviewed","https://www.siloreal.com/en/"
"sima","Sima","precision agriculture and resource intelligence","precision agriculture intelligence","reviewed","https://sima.ag/"
"single_strand_biotech","Single Strand Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.singlestrand.com/"
"skyloom","Skyloom","frontier hardware and infrastructure systems","frontier hardware and space systems","taxonomy_stub",""
"solfium","Solfium","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub",""
"soygreen","SoyGREEN","ag biologicals and crop resilience","extremophile microbial ag inputs","seeded","https://soygreen.com.ar"
"synthetic_ocular_restoration","Synthetic Ocular Restoration","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://sor.international/antecedentes/"
"tesabio_ai","Tesabio.ai","therapeutics and regenerative medicine","therapeutic and regenerative biology","reviewed","https://www.tesabio.ai/"
"tracestory","Tracestory","climate, energy and resource systems","climate and resource intelligence platforms","reviewed","https://www.tracestory.com/en/home"
