"entity_type","entity_id","entity_name","pipeline_state","scope_decision","review_status","quality_band","data_quality_score_10","source_type","source_url","structured_country","capital_edge_count","needs_source","needs_scope_decision","needs_country","needs_quality_upgrade","needs_capital_edge","priority_score"
"startup","amaro","Amaro","source_needed","exclude","taxonomy_stub","medium","8","taxonomy_stub","","","0","True","False","False","False","False","100"
"startup","centralo","Centralo","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","curseduca","Curseduca","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","BR","0","True","False","False","False","False","100"
"startup","exactly","Exactly","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","facturama","Facturama","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","MX","0","True","False","False","False","False","100"
"startup","fligoo","Fligoo","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","frete_com","Frete Com","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","frubana","Frubana","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","CO/BR","0","True","False","False","False","False","100"
"startup","grandata","Grandata","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","US/AR","0","True","False","False","False","False","100"
"startup","houm","Houm","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","CL","0","True","False","False","False","False","100"
"startup","hybridon","Hybridon","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","inventa","Inventa","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","BR","0","True","False","False","False","False","100"
"startup","iof","Iof","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","jampp","Jampp","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR/US","0","True","False","False","False","False","100"
"startup","kangu","Kangu","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","BR","0","True","False","False","False","False","100"
"startup","lemon","Lemon","source_needed","exclude","seeded","medium","7.5","manual_public_signal","","AR","3","True","False","False","False","False","100"
"startup","lifit","Lifit","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","logan","Logan","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","menta_tickets","Menta Tickets","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","mudafy","Mudafy","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR/MX","0","True","False","False","False","False","100"
"startup","mural","Mural","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR/US","0","True","False","False","False","False","100"
"startup","payjoy","Payjoy","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","US","0","True","False","False","False","False","100"
"startup","pods","Pods","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","pomelo","Pomelo","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","prima","Prima","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","properati","Properati","source_needed","exclude","taxonomy_stub","medium","7.5","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","qive","Qive","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","BR","0","True","False","False","False","False","100"
"startup","quadminds","Quadminds","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","retargetly","Retargetly","source_needed","exclude","taxonomy_stub","medium","7.5","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","ripio","Ripio","source_needed","exclude","taxonomy_stub","medium","7.5","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","rsk","Rsk","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","securitize","Securitize","source_needed","exclude","taxonomy_stub","medium","7.5","taxonomy_stub","","US/AR","0","True","False","False","False","False","100"
"startup","sirena","Sirena","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","spectrum","Spectrum","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","2","True","False","False","False","False","100"
"startup","spline","Spline","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","starlight_ventures","Starlight Ventures","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","strike","Strike","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","teachy","Teachy","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","tissue_dynamics","Tissue Dynamics","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","IL/AR","0","True","False","False","False","False","100"
"startup","travelx","TravelX","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","US/AR","2","True","False","False","False","False","100"
"startup","vercel","Vercel","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","US/AR","0","True","False","False","False","False","100"
"startup","vixtra","Vixtra","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","zipnova","Zipnova","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","1","True","False","False","False","False","100"
"startup","123seguro","123Seguro","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","","0","True","False","False","False","False","95"
"startup","barte","Barte","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","","0","True","False","False","False","False","95"
"startup","cobli","Cobli","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","","0","True","False","False","False","False","95"
"startup","luzid","Luzid","source_needed","exclude","seeded","high","8.5","portfolio_or_official_override","","CR","0","True","False","False","False","False","95"
"startup","nuclearis","Nuclearis","source_needed","exclude","seeded","high","8.5","portfolio_or_official_override","","AR","0","True","False","False","False","False","95"
"startup","nuvemshop","Nuvemshop","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","BR/AR","0","True","False","False","False","False","95"
"startup","nuvia","Nuvia","source_needed","exclude","seeded","high","8.5","portfolio_or_official_override","","US","0","True","False","False","False","False","95"
"startup","uala","Ualá","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","AR","0","True","False","False","False","False","95"
"startup","vu","Vu","source_needed","exclude","seeded","high","8.5","portfolio_or_official_override","","AR","0","True","False","False","False","False","95"
"startup","workana","Workana","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","AR/BR","0","True","False","False","False","False","95"
"startup","ages","AGES","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://www.kptl.com.br/portfolio/ages/","BR","0","False","False","False","False","True","30"
"startup","agricapital","Agricapital","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/agricapital/","CO","0","False","False","False","False","True","30"
"startup","agrired","Agrired","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.agrired.com.ar/","AR","0","False","False","False","False","True","30"
"startup","agrivalle","Agrivalle","source_backed_seeded","include","seeded","medium","7.5","external_profile","https://www.f6s.com/companies/agritech/brazil/co","BR","0","False","False","False","False","True","30"
"startup","agrolend","Agrolend","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://spventures.com.br/portfolio/agrolend/","BR","0","False","False","False","False","True","30"
"startup","agrosmart","Agrosmart","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://spventures.com.br/portfolio/agrosmart/","BR","0","False","False","False","False","True","30"
"startup","agrotools","AGROTOOLS","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://www.kptl.com.br/portfolio/agrotools/","BR","0","False","False","False","False","True","30"
"startup","agrourbana","Agrourbana","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://chileglobalventures.cl/en/portfolio/agrourbana/","CL","0","False","False","False","False","True","30"
"startup","amplify-dynamics","Amplify Dynamics","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theganeshalab.com/startup/amplify-dynamics/","CO","0","False","False","False","False","True","30"
"startup","aplife_biotech","Aplife Biotech","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://www.aplifebiotech.com/about","BR","0","False","False","False","False","True","30"
"startup","arcomed","Arcomed","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.arcomed.com/","CL","0","False","False","False","False","True","30"
"startup","asclepii","Asclepii","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","US/CL/MX","0","False","False","False","False","True","30"
"startup","autem-medical","Autem Medical","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","BR/US","0","False","False","False","False","True","30"
"startup","beam_croptech","BEAM CropTech","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://beamcroptech.com/en/home-en/","AR","0","False","False","False","False","True","30"
"startup","bemagro","BemAgro","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/pt-br/companies/bemagro/","BR","0","False","False","False","False","True","30"
"startup","biodiversity_intelligence","Biodiversity Intelligence","ready_for_semantic","include","reviewed","medium","8","official_portfolio_profile","https://www.gridexponential.com/portfolio","AR","0","False","False","False","False","True","30"
"startup","biolinker","Biolinker Synthetic Biology","source_backed_seeded","include","seeded","medium","8","external_profile","https://www.f6s.com/company/biolinkersyntheticbiology","BR","0","False","False","False","False","True","30"
"startup","biomakers","Biomakers","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","AR/MX/BR","0","False","False","False","False","True","30"
"startup","bleps_vision","Bleps Vision","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://blepsvision.com/en/","CL","0","False","False","False","False","True","30"
"startup","blooms","Blooms","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/blooms/","MX","0","False","False","False","False","True","30"
"startup","botanical-solutions","Botanical Solutions","ready_for_semantic","include","reviewed","","","linkedin_company_profile","https://www.linkedin.com/company/botanical-solution","CL/US","0","False","False","False","False","True","30"
"startup","branch_energy","Branch Energy","ready_for_semantic","include","reviewed","medium","8","official_public_profile","https://www.linkedin.com/company/branch-energy","US","0","False","False","False","False","True","30"
"startup","bsafe_biotech","Bsafe Biotech","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://www.bsafebiotech.com/","BR","0","False","False","False","False","True","30"
"startup","cargo_sapiens","Cargo Sapiens","source_backed_seeded","include","seeded","medium","8","candidate_website_from_user_csv","https://cargosapiens.com","BR","0","False","False","False","False","True","30"
"startup","caspr_biotech","Caspr Biotech","ready_for_semantic","include","reviewed","medium","7.5","official_public_profile","https://sosv.com/company/caspr-biotech/","CL","0","False","False","False","False","True","30"
"startup","cellargen_biotech","Cellargen Biotech","ready_for_semantic","include","reviewed","medium","7","institutional_public_source","https://www.unl.edu.ar/noticias/news/view/la_fbcb_y_cellargen_biotech_s_r_l_producir%C3%A1n_insumos_biotecnol%C3%B3gicos","AR","0","False","False","False","False","True","30"
"startup","cerradox","CerradoX","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/cerradox/","BR","0","False","False","False","False","True","30"
"startup","chemtest","Chemtest","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.chemtest.net/","AR","0","False","False","False","False","True","30"
"startup","culttivo","Culttivo","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/culttivo/","BR","0","False","False","False","False","True","30"
"startup","dharma_bioscience","Dharma BioScience","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://sf500.com.ar/","AR","0","False","False","False","False","True","30"
"startup","dogma_biotech","Dogma Biotech","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://www.gridexponential.com/portfolio","CO","0","False","False","False","False","True","30"
"startup","done_properly","Done Properly","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.doneproperly.co/","CL","0","False","False","False","False","True","30"
"startup","dprotein","DProtein","source_backed_seeded","include","seeded","medium","8","linkedin_company_page","https://www.linkedin.com/company/dprotein","AR","0","False","False","False","False","True","30"
"startup","dymaxion_labs","Dymaxion Labs","ready_for_semantic","include","reviewed","medium","8","official_website","https://dymaxionlabs.com/","AR","0","False","False","False","False","True","30"
"startup","eolo_pharma","Eolo Pharma","ready_for_semantic","include","reviewed","medium","8","official_website","https://eolo-pharma.com/","UY","0","False","False","False","False","True","30"
"startup","ergo_foods","Ergo Foods","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://www.ergobiotech.com/","AR","0","False","False","False","False","True","30"
"startup","fungi_life","Fungi Life","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.fungilife.net/","AR","0","False","False","False","False","True","30"
"startup","future_biome","Future Biome","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://www.gridexponential.com/portfolio","AR","0","False","False","False","False","True","30"
"startup","galtec","Galtec Life","ready_for_semantic","include","reviewed","medium","8","official_website","https://galtec.ar/en/home/","AR","0","False","False","False","False","True","30"
"startup","genica","Gênica","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://spventures.com.br/portfolio/genica/","BR","0","False","False","False","False","True","30"
"startup","gisens_biotech","Gisens Biotech","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://www.gridexponential.com/portfolio","AR","0","False","False","False","False","True","30"
"startup","harmony-biosciences","HARMONY","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","BR/US","0","False","False","False","False","True","30"
"startup","hexembio","HeXemBio","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","US/BR","0","False","False","False","False","True","30"
"startup","incluirtec","Incluirtec","source_backed_seeded","include","seeded","","","official_portfolio_listing","https://theyieldlablatam.com/portfolio/","CO","0","False","False","False","False","True","30"
"startup","inner_cosmos","Inner Cosmos","source_backed_seeded","include","seeded","medium","8","candidate_website_from_user_csv","https://innercosmos.io","US","0","False","False","False","False","True","30"
"startup","innova_space","Innova Space","ready_for_semantic","include","reviewed","medium","7","official_website","https://www.innova-space.com/en/","AR","0","False","False","False","False","True","30"
"startup","inprenha","Inprenha","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://www.spventures.com.br/","BR","0","False","False","False","False","True","30"
"startup","jetbov","JetBov","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://spventures.com.br/portfolio/jetbov/","BR","0","False","False","False","False","True","30"
"startup","keclon","Keclon","ready_for_semantic","include","reviewed","medium","8","official_website","https://keclon.com/","AR","0","False","False","False","False","True","30"
"startup","laurus_ag_tech","Laurus AG Tech","source_backed_seeded","include","seeded","medium","7","official_portfolio_profile","https://www.f6s.com/company/laurusagtech","AR","0","False","False","False","False","True","30"
"startup","limay_biosciences","Limay Biosciences","ready_for_semantic","include","reviewed","medium","8","institutional_public_source","https://cancilleria.gob.ar/en/new-technologies/next-from-argentina-en/limay-biosciences","AR","0","False","False","False","False","True","30"
"startup","matchetune","Matchetune","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://chileglobalventures.cl/portafolio/matchetune/","CL","0","False","False","False","False","True","30"
"startup","metabix-biotech","metaBIX Biotech","ready_for_semantic","include","reviewed","","","linkedin_company_profile","https://www.linkedin.com/company/metabix-biotech","UY","0","False","False","False","False","True","30"
"startup","microscopia","microscopIA","ready_for_semantic","include","reviewed","medium","7.5","secondary_public_profile","https://www.f6s.com/company/microscopia","AR","0","False","False","False","False","True","30"
"startup","momentum-therapeutics","Momentum Therapeutics","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","CL/US","0","False","False","False","False","True","30"
"startup","monte-caldera-technology","Monte Caldera Technology","ready_for_semantic","include","reviewed","medium","8","official_website","https://montecaldera.com/","CL","0","False","False","False","False","True","30"
"startup","multiplai_health","MultiplAI Health","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://zentynel.com/en/portfolio/","AR/UK","0","False","False","False","False","True","30"
"startup","mycorium_biotech","Mycorium Biotech","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://sf500.com.ar/","AR","0","False","False","False","False","True","30"
"startup","nanotica","Nanotica","source_backed_seeded","include","seeded","medium","8","candidate_website_from_user_csv","https://nanotica.bio","AR","0","False","False","False","False","True","30"
"startup","neocrop-technologies","Neocrop Technologies","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","CL/US","0","False","False","False","False","True","30"
"startup","nocarbon_milk","NoCarbon Milk","source_backed_seeded","include","seeded","medium","7.5","secondary_public_profile","https://www.milkpoint.com.br/noticias-e-mercado/giro-noticias/nocarbon-chega-a-mais-de-600-pontos-de-venda-no-brasil-em-apenas-um-ano-de-operacao-231680/","BR","0","False","False","False","False","True","30"
"startup","nunatak_biotech","Nunatak Biotech","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.nunatakbio.com/","AR","0","False","False","False","False","True","30"
"startup","omics","OMICS","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://kptl.com.br/portfolio/omics/?lang=en","BR","0","False","False","False","False","True","30"
"startup","onco_precision","Onco Precision","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.oncoprecision.bio/","US/AR","0","False","False","False","False","True","30"
"startup","patagon-fiber","Patagon Fiber","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theganeshalab.com/startup/patagon-fiber/","CL","0","False","False","False","False","True","30"
"startup","phagelab","PhageLab","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/phage_lab/","CL","0","False","False","False","False","True","30"
"startup","pink-farms","Pink Farms","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://spventures.com.br/portfolio/brain-ag-3/","BR","0","False","False","False","False","True","30"
"startup","plamic_biotech","Plamic Biotech","source_backed_seeded","include","seeded","medium","7.5","official_public_profile","https://www.argentina.gob.ar/noticias/se-conocieron-los-ganadores-del-concurso-innova-salud","AR","0","False","False","False","False","True","30"
"startup","precision_ag","Precision Ag","source_backed_seeded","include","seeded","medium","7.5","official_website","https://www.precision.agr.br/en","BR","0","False","False","False","False","True","30"
"startup","produzindo-certo","Produzindo Certo","source_backed_seeded","include","seeded","","","official_portfolio_listing","https://theyieldlablatam.com/portfolio/","BR","0","False","False","False","False","True","30"
"startup","samay","Samay","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","CO/US","0","False","False","False","False","True","30"
"startup","satellites_on_fire","Satellites on Fire","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://www.satellitesonfire.com/en","AR","0","False","False","False","False","True","30"
"startup","silohub","Silohub","ready_for_semantic","include","reviewed","medium","7","secondary_public_profile","https://www.descubre.vc/silohub","AR","0","False","False","False","False","True","30"
"startup","sima","Sima","ready_for_semantic","include","reviewed","medium","8","official_website","https://sima.ag/","AR","0","False","False","False","False","True","30"
"startup","sioma","Sioma","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/eiwa-2/","CO","0","False","False","False","False","True","30"
"startup","smartbreeder","SmartBreeder","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://www.kptl.com.br/portfolio/smartbreeder/","BR","0","False","False","False","False","True","30"
"startup","spaceag","SpaceAG","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/spaceag/","PE","0","False","False","False","False","True","30"
