"batch_name","batch_label","batch_goal","batch_rank","startup_id","startup_name","scope_decision","macro_theme","review_status","quality_band","priority","current_summary"
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","1","bioseek","Bioseek","include","computational biology and scientific software","taxonomy_stub","fragile","123","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","2","calice_biotech","Calice Biotech","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","3","cellargen_biotech","Cellargen Biotech","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","4","enzyva","Enzyva","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","5","ergo_foods","Ergo Foods","include","food biotech and novel ingredients","taxonomy_stub","fragile","123","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","6","limay","Limay","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","7","microscopia","microscopIA","include","computational biology and scientific software","taxonomy_stub","fragile","123","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","8","multiplai","MultiplAI","include","computational biology and scientific software","taxonomy_stub","fragile","123","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","9","nanojump_bio","Nano Jump Bio","include","diagnostics and medtech","taxonomy_stub","fragile","123","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","10","plamic_biotech","Plamic Biotech","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","11","synthetic_ocular_restoration","Synthetic Ocular Restoration","include","therapeutics and regenerative medicine","taxonomy_stub","fragile","123","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","12","tesabio_ai","Tesabio.ai","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","13","food4you","Food4You","include","food biotech and novel ingredients","seeded","fragile","111","food ingredients and nutrition para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 2","include_fragile_systems","Source acquisition for climate, ag and materials edge cases","1","laurus_ag_tech","Laurus AG Tech","include","precision agriculture and resource intelligence","taxonomy_stub","fragile","123","precision agriculture software para agriculture. Entra en tesis por precision agriculture and resource intelligence."
"Batch 2","include_fragile_systems","Source acquisition for climate, ag and materials edge cases","2","outpost","Outpost","include","frontier hardware and infrastructure systems","taxonomy_stub","fragile","123","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 2","include_fragile_systems","Source acquisition for climate, ag and materials edge cases","3","silohub","Silohub","include","precision agriculture and resource intelligence","taxonomy_stub","fragile","123","precision agriculture software para agriculture. Entra en tesis por precision agriculture and resource intelligence."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","1","abastra","AbAstra","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","medium","115","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","2","apasomics","Apasomics","include","computational biology and scientific software","taxonomy_stub","medium","115","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","3","arcomed","Arcomed","include","diagnostics and medtech","taxonomy_stub","medium","115","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","4","avatar_medtech","AVaTAR MedTech","include","diagnostics and medtech","taxonomy_stub","medium","115","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","5","biocle","BioCl","include","computational biology and scientific software","taxonomy_stub","medium","115","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","6","branch_energy","Branch Energy","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","medium","115","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","7","cellva","Cellva","include","food biotech and novel ingredients","taxonomy_stub","medium","115","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","8","circa_therapeutics","Circa Therapeutics","include","therapeutics and regenerative medicine","taxonomy_stub","medium","115","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","9","conciencia","Conciencia","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","medium","115","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","10","crinsurance","CRInsurance","include","diagnostics and medtech","taxonomy_stub","medium","115","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","11","dharma_bioscience","Dharma BioScience","include","computational biology and scientific software","taxonomy_stub","medium","115","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","12","dogma_biotech","Dogma Biotech","include","computational biology and scientific software","taxonomy_stub","medium","115","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","13","done_properly","Done Properly","include","food biotech and novel ingredients","taxonomy_stub","medium","115","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","14","dprotein","DProtein","include","food biotech and novel ingredients","taxonomy_stub","medium","115","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","15","dymaxion_labs","Dymaxion Labs","include","food biotech and novel ingredients","taxonomy_stub","medium","115","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","16","eolo_pharma","Eolo Pharma","include","computational biology and scientific software","taxonomy_stub","medium","115","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","17","ergo_bioscience","Ergo Bioscience","include","food biotech and novel ingredients","taxonomy_stub","medium","115","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","18","fungi_life","Fungi Life","include","food biotech and novel ingredients","taxonomy_stub","medium","115","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","19","future_biome","Future Biome","include","computational biology and scientific software","taxonomy_stub","medium","115","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","20","galtec","Galtec Life","include","computational biology and scientific software","taxonomy_stub","medium","115","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","21","geoprot","Geoprot","include","food biotech and novel ingredients","taxonomy_stub","medium","115","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","22","gigablue","Gigablue","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","medium","115","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","23","gisens_biotech","Gisens Biotech","include","diagnostics and medtech","taxonomy_stub","medium","115","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","24","glycox","GlycoX","include","computational biology and scientific software","taxonomy_stub","medium","115","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 3","include_medium_core","Scale source coverage across medium-quality thesis-core startups","25","heartbest","Heartbest","include","food biotech and novel ingredients","taxonomy_stub","medium","115","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","1","aerialoop","Aerialoop","include","frontier hardware and infrastructure systems","taxonomy_stub","medium","115","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","2","agroforte","Agroforte","include","precision agriculture and resource intelligence","taxonomy_stub","medium","115","precision agriculture software para agriculture. Entra en tesis por precision agriculture and resource intelligence."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","3","biometallum","BioMetallum","include","biobased chemistry and advanced materials","taxonomy_stub","medium","115","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","4","cargo_sapiens","Cargo Sapiens","include","climate, energy and resource systems","taxonomy_stub","medium","115","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","5","chemtest","Chemtest","include","biobased chemistry and advanced materials","taxonomy_stub","medium","115","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","6","circular","Circular","include","climate, energy and resource systems","taxonomy_stub","medium","115","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","7","clover","Clover","include","climate, energy and resource systems","taxonomy_stub","medium","115","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","8","cyanomin","CyanoMin","include","biobased chemistry and advanced materials","taxonomy_stub","medium","115","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","9","endless","Endless","include","climate, energy and resource systems","taxonomy_stub","medium","115","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","10","innova_space","Innova Space","include","frontier hardware and infrastructure systems","taxonomy_stub","medium","115","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","11","keclon","Keclon","include","biobased chemistry and advanced materials","taxonomy_stub","medium","115","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","12","lia_aeospace","LIA Aeospace","include","frontier hardware and infrastructure systems","taxonomy_stub","medium","115","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","13","logshare","LogShare","include","climate, energy and resource systems","taxonomy_stub","medium","115","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","14","notfossil","NotFossil","include","biobased chemistry and advanced materials","taxonomy_stub","medium","115","green chemistry; biomaterials; bioindustry para chemicals, materials, cosmetics and ag. Entra en tesis por biobased chemistry and advanced materials."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","15","novo_space","NOVO SPACE","include","frontier hardware and infrastructure systems","taxonomy_stub","medium","115","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","16","quantum_south","Quantum South","include","frontier hardware and infrastructure systems","taxonomy_stub","medium","115","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","17","satellites_on_fire","Satellites on Fire","include","frontier hardware and infrastructure systems","taxonomy_stub","medium","115","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","18","satellogic","Satellogic","include","frontier hardware and infrastructure systems","taxonomy_stub","medium","115","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","19","skyloom","Skyloom","include","frontier hardware and infrastructure systems","taxonomy_stub","medium","115","frontier hardware and space systems para aerospace, infrastructure and industrial markets. Entra en tesis por frontier hardware and infrastructure systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","20","solfium","Solfium","include","climate, energy and resource systems","taxonomy_stub","medium","115","climate and resource intelligence para energy, water, carbon and infrastructure systems. Entra en tesis por climate, energy and resource systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","21","alkemio","Alkemio","include","climate, energy and resource systems","seeded","medium","103","sustainable rare earth refining para critical materials and industrial systems. Entra en tesis por climate, energy and resource systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","22","break_pet","BreakPET","include","biobased chemistry and advanced materials","seeded","medium","103","green chemistry; biomaterials; circular materials para chemicals, materials and circular packaging. Entra en tesis por biobased chemistry and advanced materials."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","23","caligenia","Caligenia","include","ag biologicals and crop resilience","seeded","medium","103","ag biologicals; regenerative agriculture para agriculture. Entra en tesis por ag biologicals and crop resilience."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","24","circclo","CIRCCLO","include","climate, energy and resource systems","seeded","medium","103","reusable packaging and circular economy infrastructure para consumer goods, food service and packaging. Entra en tesis por climate, energy and resource systems."
"Batch 4","include_medium_systems","Scale source coverage across systems, materials and infrastructure startups","25","courageous_land","Courageous Land","include","climate, energy and resource systems","seeded","medium","103","regenerative agroforestry and carbon infrastructure para agriculture, carbon and ecosystem restoration. Entra en tesis por climate, energy and resource systems."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","1","123seguro","123Seguro","exclude","peripheral or non-core digital ventures","taxonomy_stub","fragile","73","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","2","agree","Agree","exclude","peripheral or non-core digital ventures","taxonomy_stub","fragile","73","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","3","altscore","Altscore","exclude","peripheral or non-core digital ventures","taxonomy_stub","fragile","73","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","4","amaro","Amaro","exclude","peripheral or non-core digital ventures","taxonomy_stub","fragile","73","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","5","aquit","Aquit","exclude","peripheral or non-core digital ventures","taxonomy_stub","fragile","73","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","6","barte","Barte","exclude","peripheral or non-core digital ventures","taxonomy_stub","fragile","73","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","7","cobli","Cobli","exclude","peripheral or non-core digital ventures","taxonomy_stub","fragile","73","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","8","tech","@Tech","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","9","aloi","Aloi","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","10","antarka","Antarka","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","11","ardan","Ardan","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","12","blerify","Blerify","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","13","calfix","Calfix","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","14","capim","Capim","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","15","centralo","Centralo","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","16","curseduca","Curseduca","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","17","cytbac","Cytbac","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","18","egg","Egg","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","19","ethos","Ethos","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","20","exactly","Exactly","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","21","facturama","Facturama","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","22","frubana","Frubana","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","23","gameet","Gameet","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","24","gbm","GBM","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","25","grandata","Grandata","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","26","houm","Houm","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","27","hybridon","Hybridon","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","28","infira","Infira","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","29","ini","INI","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
"Batch 5","exclude_fast_cleanup","Fast external-source confirmation for excluded full-digital startups","30","inventa","Inventa","exclude","peripheral or non-core digital ventures","taxonomy_stub","medium","65","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal."
