"metric","value"
"startup_total","384"
"seed_assignments","9"
"heuristic_assignments","28"
"confidence_high_ge_0_75","328"
"confidence_mid_0_55_to_0_74","26"
"confidence_low_lt_0_55","30"
"scope::include","283"
"scope::review","0"
"scope::exclude","101"
"theme::digital coordination and market infrastructure","63"
"theme::therapeutic and regenerative biology","29"
"theme::health diagnostics and medtech","20"
"theme::food transition ingredients and proteins","19"
"theme::precision agriculture intelligence","18"
"theme::ag biologicals and crop resilience","13"
"theme::biobased chemistry and materials","13"
"theme::traceability and tokenized resource infrastructure","8"
"theme::industrial biotech and molecular tools","8"
"theme::diagnostics and medtech","5"
"theme::agricultural credit and risk intelligence","5"
"theme::computational biology and life-science software","5"
"theme::climate and resource intelligence platforms","5"
"theme::genome-enabled crop resilience","5"
"theme::ag biologicals and animal resilience","4"
"theme::circular material systems","4"
"theme::regenerative agroforestry and carbon systems","3"
"theme::therapeutics and regenerative bio","3"
"theme::nature restoration and carbon systems","3"
"theme::critical materials and resource systems","3"
"theme::extremophile microbial ag inputs","3"
"theme::precision agriculture and soil intelligence","2"
"theme::biological pest control and bioinputs","2"
"theme::native reforestation and carbon removal","2"
"theme::unclassified / needs review resolved","2"
"theme::fresh food supply-chain infrastructure","2"
"theme::low-carbon dairy and animal protein systems","1"
"theme::bioremediation and microbial resource recovery","1"
"theme::rad-tolerant space computing systems","1"
"theme::food rescue and circular food access","1"
"theme::cold-chain and food-quality monitoring","1"
"theme::low-emission logistics and supply-chain efficiency","1"
"theme::gene-edited regenerative medicine and organ replacement","1"
"theme::nuclear industrial engineering","1"
"theme::digital biobank and multiomics infrastructure","1"
"theme::microbiome predictive biology and techbio","1"
"theme::personalized medicine manufacturing","1"
"theme::semiconductor compute systems","1"
"theme::plant-based food transition products","1"
"theme::drug delivery and bioactive formulation platforms","1"
"theme::plant microbiome and soil restoration","1"
"theme::ticketing and fan exchange infrastructure","1"
"theme::transcriptomic screening and precision diagnostics","1"
"theme::resource recovery and circular materials infrastructure","1"
"theme::carbon markets and nature finance","1"
"theme::food shelf-life extension and antioxidant systems","1"
"theme::fermented functional ingredients","1"
"theme::environmental pathogen intelligence and biosecurity","1"
"theme::bioprocess intelligence and digital twins","1"
"theme::general logistics software","1"
"theme::edible coatings and post-harvest biopreservation","1"
"theme::regenerative agriculture and nature finance","1"
"theme::critical-care medical devices","1"
"theme::functional advanced materials and biointerface surfaces","1"
"theme::nanomedicine and oncology devices","1"
"theme::ag-input delivery and nanoencapsulation","1"
"theme::non-thermal plasma seed treatment","1"
"theme::urban parking and mobility infrastructure","1"
"theme::seed and grain quality intelligence","1"
"theme::ag biologicals and microbial discovery","1"
"theme::non-startup or ecosystem actor misclassified","1"
"theme::analytical diagnostics and spectral sensing","1"
"theme::on-farm bioinput production","1"
"theme::continuous programmable biomanufacturing","1"
"theme::AI grid optimization and renewable integration","1"
"theme::precision agriculture and resource intelligence","1"
"theme::AI compute acceleration software","1"
"theme::post-harvest monitoring and traceability","1"
"theme::water risk and stewardship intelligence","1"
"theme::farm machinery optimization","1"
"theme::organ models and drug discovery platforms","1"
"theme::AI agent connectivity infrastructure","1"
"theme::planetary monitoring and resilience systems","1"
"theme::complex protein production and biomanufacturing","1"
"theme::biologic therapeutics for fibrosis and cancer","1"
"theme::bio-nano agricultural inputs","1"
"theme::fleet tire optimization and logistics software","1"
"theme::fungal biomaterials and residue valorization","1"
"theme::quantum cargo optimization","1"
"theme::drone-enabled precision spraying","1"
"theme::microfluidic nanomedicine manufacturing","1"
"theme::quantum sensing for drug discovery","1"
"theme::biological pest control and crop protection","1"
"theme::space optical communications","1"
"theme::agricultural asset verification and collateral infrastructure","1"
"theme::autonomous agriculture and resource-efficient farming","1"
"theme::distributed clean-energy deployment","1"
"theme::agri-market infrastructure and producer engagement","1"
"theme::wildfire detection and ecosystem resilience","1"
"theme::ag biologicals and crop/livestock resilience","1"
"theme::seed technology and crop establishment","1"
"theme::earth observation and planetary monitoring","1"
"theme::microbiome medical devices and womens health","1"
"theme::neurotherapeutics and biopharmaceutical platforms","1"
"theme::distributed clean-energy infrastructure","1"
"theme::digital identity and credential infrastructure","1"
"theme::genomic diagnostics and precision health","1"
"theme::cell-free protein synthesis platforms","1"
"theme::biobased packaging and circular biomaterials","1"
"theme::native reforestation and ecosystem restoration","1"
"theme::insect bioreactors for recombinant proteins","1"
"theme::ag-finance, risk and producer intelligence","1"
"theme::payments reconciliation software","1"
"theme::vaccine and immunotherapy platforms","1"
"theme::resource recovery and bioremediation systems","1"
"theme::forest carbon and conservation finance","1"
"theme::healthcare operations and embedded finance","1"
"theme::mobility and logistics efficiency software","1"
"theme::logistics optimization outside bio thesis","1"
"theme::agri-marketplace and input commerce infrastructure","1"
"theme::ag education outside bio thesis","1"
"theme::microalgae functional ingredients","1"
"theme::agri-market and traceability infrastructure","1"
"theme::drone logistics and aerial surveillance systems","1"
"theme::farm management and field intelligence","1"
"theme::bioinputs and biostimulants","1"
"theme::ag-input market infrastructure","1"
"theme::microalgae bioprocess platforms","1"
"theme::digital finance and payments infrastructure","1"
"theme::regenerative wound care and tissue repair","1"
"theme::natural food preservation systems","1"
"theme::data-driven pollination systems","1"
"theme::embedded finance and credit infrastructure","1"
"theme::tax and enterprise compliance software","1"
"theme::circular construction materials from plastic waste","1"
"theme::digital commerce and consumer platforms","1"
"theme::liquid biopsy and precision oncology diagnostics","1"
"theme::offline payments and fintech infrastructure","1"
"theme::animal health biotechnology and probiotics","1"
"theme::neurotherapeutic medical devices","1"
"theme::PHB biopolymers and compostable materials","1"
"theme::drone-enabled remote sensing and field intelligence","1"
"theme::bioenergy and waste-to-resource systems","1"
"theme::ag biologicals CDMO and biomanufacturing","1"
"theme::bioactive materials and surface technologies","1"
"theme::satellite IoT and planetary monitoring","1"
"theme::biodiversity MRV and nature intelligence","1"
"theme::crypto and consumer fintech","1"
"theme::green satellite propulsion systems","1"
"theme::food ingredients and biofactories","1"
"theme::water intelligence for resilient agriculture","1"
"theme::in vitro human organ models and drug testing","1"
"theme::agriculture data infrastructure","1"
"theme::nano-biofertilizers and plant physiology","1"
"theme::energy-efficient semiconductor hardware","1"
"theme::venture capital and startup investment platform","1"
"theme::flexitarian food and alternative protein systems","1"
"theme::health benefits fintech infrastructure","1"
"theme::education technology and training platforms","1"
"theme::non-invasive tissue regeneration","1"
"theme::livestock marketplace outside bio thesis","1"
"theme::liquid biopsy and molecular diagnostics","1"
"theme::food biofactories and functional ingredients","1"
"theme::location intelligence software","1"
"theme::genomics and molecular diagnostics infrastructure","1"
"theme::ag logistics and freight intelligence","1"
"theme::protein biology and scientific infrastructure","1"
"theme::galectin immunotherapy platforms","1"
"theme::precision-fermented dairy proteins","1"
"theme::investment and brokerage platform","1"
"theme::reproductive biotech and assisted reproduction devices","1"
"macro_theme::peripheral or non-core digital ventures","88"
"macro_theme::climate, energy and resource systems","55"
"macro_theme::therapeutics and regenerative medicine","44"
"macro_theme::ag biologicals and crop resilience","39"
"macro_theme::diagnostics and medtech","38"
"macro_theme::precision agriculture and resource intelligence","36"
"macro_theme::food biotech and novel ingredients","31"
"macro_theme::biobased chemistry and advanced materials","21"
"macro_theme::biomanufacturing and bioindustrial platforms","13"
"macro_theme::computational biology and scientific software","9"
"macro_theme::frontier hardware and infrastructure systems","7"
"macro_theme::peripheral or underclassified ventures","3"
